iter	Passed	Remaining
1197	2568	8151
1198	2570	8149
1199	2572	8147
1200	2574	8144
1201	2577	8143
1202	2579	8140
1203	2581	8139
1204	2583	8137
1205	2585	8134
1206	2587	8132
1207	2589	8129
1208	2592	8127
1209	2594	8125
1210	2596	8122
1211	2598	8120
1212	2600	8118
1213	2602	8115
1214	2604	8113
1215	2606	8111
1216	2608	8108
1217	2610	8105
1218	2612	8103
1219	2614	8101
1220	2616	8099
1221	2619	8097
1222	2621	8094
1223	2623	8092
1224	2625	8090
1225	2627	8087
1226	2629	8085
1227	2631	8082
1228	2633	8080
1229	2635	8078
1230	2637	8075
1231	2639	8073
1232	2641	8070
1233	2643	8068
1234	2645	8065
1235	2647	8063
1236	2649	8060
1237	2651	8058
1238	2653	8056
1239	2655	8053
1240	2658	8051
1241	2660	8048
1242	2662	8046
1243	2664	8044
1244	2666	8042
1245	2668	8040
1246	2670	8037
1247	2672	8035
1248	2674	8032
1249	2676	8030
1250	2679	8031
1251	2681	8028
1252	2684	8026
1253	2686	8023
1254	2688	8021
1255	2690	8019
1256	2692	8016
1257	2694	8014
1258	2696	8013
1259	2699	8011
1260	2701	8008
1261	2703	8006
1262	2705	8003
1263	2707	8001
1264	2709	7999
1265	2711	7996
1266	2713	7994
1267	2715	7992
1268	2717	7990
1269	2719	7987
1270	2721	7985
1271	2723	7983
1272	2725	7980
1273	2727	7978
1274	2729	7975
1275	2732	7973
1276	2734	7970
1277	2736	7968
1278	2738	7966
1279	2740	7963
1280	2742	7961
1281	2744	7959
1282	2746	7956
1283	2748	7954
1284	2750	7952
1285	2752	7949
1286	2754	7947
1287	2756	7944
1288	2758	7942
1289	2760	7940
1290	2763	7938
1291	2765	7935
1292	2767	7933
1293	2769	7931
1294	2771	7930
1295	2773	7927
1296	2776	7925
1297	2778	7923
1298	2780	7921
1299	2782	7919
1300	2784	7917
1301	2786	7915
1302	2788	7913
1303	2791	7911
1304	2793	7909
1305	2795	7906
1306	2797	7904
1307	2799	7902
1308	2801	7899
1309	2803	7897
1310	2805	7895
1311	2807	7892
1312	2810	7890
1313	2812	7888
1314	2814	7886
1315	2816	7884
1316	2818	7881
1317	2820	7878
1318	2822	7876
1319	2824	7874
1320	2826	7871
1321	2828	7869
1322	2830	7866
1323	2832	7864
1324	2834	7861
1325	2836	7859
1326	2838	7856
1327	2840	7854
1328	2842	7851
1329	2844	7849
1330	2846	7847
1331	2848	7844
1332	2850	7842
1333	2853	7840
1334	2855	7838
1335	2857	7836
1336	2859	7833
1337	2861	7831
1338	2863	7829
1339	2865	7826
1340	2867	7824
1341	2869	7822
1342	2871	7819
1343	2873	7817
1344	2875	7815
1345	2878	7812
1346	2880	7810
1347	2882	7808
1348	2884	7806
1349	2886	7803
1350	2888	7801
1351	2890	7799
1352	2892	7796
1353	2894	7794
1354	2896	7792
1355	2898	7789
1356	2900	7787
1357	2902	7785
1358	2904	7782
1359	2906	7780
1360	2909	7778
1361	2911	7775
1362	2913	7773
1363	2915	7771
1364	2917	7768
1365	2919	7766
1366	2921	7764
1367	2923	7762
1368	2926	7760
1369	2928	7758
1370	2930	7755
1371	2932	7753
1372	2934	7751
1373	2936	7748
1374	2938	7746
1375	2940	7744
1376	2942	7741
1377	2944	7739
1378	2946	7737
1379	2948	7735
1380	2950	7732
1381	2952	7730
1382	2955	7728
1383	2957	7726
1384	2959	7724
1385	2961	7721
1386	2963	7719
1387	2965	7717
1388	2967	7714
1389	2969	7712
1390	2971	7710
1391	2973	7707
1392	2975	7705
1393	2977	7702
1394	2980	7701
1395	2982	7699
1396	2984	7697
1397	2986	7694
1398	2988	7692
1399	2990	7690
1400	2992	7688
1401	2995	7686
1402	2997	7684
1403	2999	7682
1404	3001	7679
1405	3003	7677
1406	3005	7675
1407	3007	7673
1408	3009	7670
1409	3011	7668
1410	3013	7665
1411	3015	7663
1412	3017	7661
1413	3020	7659
1414	3022	7656
1415	3024	7654
1416	3026	7652
1417	3028	7650
1418	3030	7647
1419	3032	7645
1420	3034	7642
1421	3036	7640
1422	3038	7638
1423	3040	7636
1424	3042	7633
1425	3044	7631
1426	3047	7629
1427	3049	7627
1428	3051	7624
1429	3053	7622
1430	3055	7620
1431	3057	7618
1432	3059	7615
1433	3061	7613
1434	3063	7611
1435	3065	7608
1436	3067	7606
1437	3069	7604
1438	3071	7601
1439	3073	7599
1440	3076	7597
1441	3078	7595
1442	3080	7592
1443	3082	7590
1444	3084	7588
1445	3086	7585
1446	3088	7583
1447	3090	7581
1448	3092	7578
1449	3094	7576
1450	3096	7574
1451	3098	7571
1452	3100	7569
1453	3102	7567
1454	3105	7565
1455	3107	7562
1456	3109	7560
1457	3111	7558
1458	3113	7555
1459	3115	7553
1460	3117	7551
1461	3119	7549
1462	3121	7546
1463	3123	7544
1464	3125	7542
1465	3127	7540
1466	3129	7537
1467	3131	7535
1468	3134	7533
1469	3136	7530
